Name,VisitorReviews,BlogReviews,Rating,GuAddr,DongAddr
스타벅스 인사점,3943,69,4.48,종로구,인사동
스타벅스 노원마들역점,5149,184,4.45,노원구,상계동
스타벅스 안국점,6906,186,4.47,종로구,재동
스타벅스 송파나루역DT점,4954,182,4.5,송파구,송파동
스타벅스 금천시흥점,4750,142,4.45,금천구,시흥동
스타벅스 노량진동점,3771,83,4.52,동작구,노량진동
스타벅스 압구정점,3314,64,4.44,강남구,신사동
스타벅스 몽촌토성역점,3238,109,4.57,송파구,방이동
스타벅스 옥수점,3241,69,4.63,성동구,옥수동
스타벅스 마곡역점,1081,40,4.49,강서구,마곡동
스타벅스 엔터식스점,3887,96,4.42,성동구,행당동
스타벅스 샛강역점,3386,139,4.52,영등포구,여의도동
스타벅스 삼성역섬유센터R점,3446,61,4.51,강남구,대치동
스타벅스 구산역점,5766,165,4.47,은평구,대조동
스타벅스 낙성대역점,6467,91,4.5,관악구,봉천동
스타벅스 강남세곡점,4187,96,4.49,강남구,세곡동
스타벅스 숭실대점,2183,54,4.53,동작구,상도동
스타벅스 상봉역점,2997,83,4.47,중랑구,상봉동
스타벅스 홍대동교점,6028,254,4.47,마포구,동교동
스타벅스 테헤란로아남타워점,324,20,4.5,강남구,역삼동
스타벅스 이태원역점,2658,49,4.48,용산구,이태원동
스타벅스 숭실대입구역점,3170,115,4.46,동작구,상도동
스타벅스 쌍문도봉로점,3885,86,4.47,도봉구,창동
스타벅스 정부서울청사R점,4147,95,4.51,종로구,적선동
스타벅스 우장산역점,3053,130,4.41,강서구,내발산동
스타벅스 안암역점,6392,192,4.46,성북구,안암동5가
스타벅스 신월IC DT점,3616,132,4.47,양천구,신월동
스타벅스 신세계타임스퀘어1F점,5634,179,4.45,영등포구,영등포동4가
스타벅스 답십리역점,3577,36,4.45,동대문구,답십리동
스타벅스 서초중앙로점,6333,149,4.41,서초구,반포동
스타벅스 구의역점,2443,77,4.45,광진구,구의동
스타벅스 연신내역사거리점,5042,157,4.48,은평구,불광동
스타벅스 잠실역점,7668,84,4.47,송파구,신천동
스타벅스 센터필드R점,4204,224,4.59,강남구,역삼동
스타벅스 올림픽공원북2문점,1796,110,4.52,강동구,성내동
스타벅스 현대목동점,1736,52,4.4,양천구,목동
스타벅스 내발산점,5415,101,4.4,강서구,내발산동
스타벅스 묵동점,1659,31,4.46,중랑구,묵동
스타벅스 강일역점,4365,131,4.46,강동구,강일동
스타벅스 코엑스별마당점,839,30,4.38,강남구,삼성동
스타벅스 대치삼성프라자점,3649,99,4.51,강남구,대치동
스타벅스 송파방이DT점,1704,41,4.52,송파구,방이동
스타벅스 신림타임스트림점,3216,103,4.48,관악구,신림동
